"","actual_delq","predict_delq","records","proper_delq","improper_delq"
"Q21999",5199,35,165278,27,8
"Q31999",3355,17,87978,15,2
"Q41999",2813,36,61339,18,18
"Q12000",1934,16,39395,10,6
"Q22000",2499,26,50567,20,6
"Q32000",2809,36,55700,17,19
"Q42000",3205,63,61055,36,27
"Q12001",4875,41,118671,33,8
"Q22001",6386,77,155102,44,33
"Q32001",5971,47,133470,39,8
"Q42001",7785,78,220511,54,24
"Q12002",5916,74,137718,53,21
"Q22002",6007,78,117803,53,25
"Q32002",7199,97,197507,64,33
"Q42002",8276,63,294244,59,4
"Q12003",6972,64,281592,55,9
"Q22003",10018,83,422205,81,2
"Q32003",12644,128,486093,126,2
"Q42003",7895,84,205959,69,15
"Q12004",7878,69,212046,67,2
"Q22004",9018,79,242019,78,1
"Q32004",7060,62,159758,61,1
"Q42004",8867,91,188269,85,6
"Q12005",10894,125,258848,123,2
"Q22005",13609,137,291611,128,9
"Q32005",19163,237,388346,229,8
"Q42005",16182,221,269597,209,12
"Q12006",13751,160,197482,139,21
"Q22006",13720,242,187054,192,50
"Q32006",12718,225,164835,173,52
"Q42006",14481,306,185810,230,76
"Q12007",14311,215,175951,188,27
"Q22007",17262,269,194753,238,31
"Q32007",13953,205,140700,179,26
"Q42007",14690,300,147353,231,69
"Q12008",14079,211,200298,178,33
"Q22008",10507,159,168439,138,21
"Q32008",5442,98,81945,87,11
"Q42008",3835,59,83050,54,5
"Q12009",3592,28,284459,26,2
"Q22009",3350,34,346844,31,3
"Q32009",2169,23,191948,22,1
"Q42009",1792,22,172527,19,3
"Q12010",1206,10,124401,8,2
"Q22010",1257,12,125541,11,1
"Q32010",953,11,164019,11,0
"Q42010",869,14,193552,8,6
"Q12011",620,5,92940,5,0
"Q22011",629,8,78216,8,0
"Q32011",553,12,108311,5,7
"Q42011",442,2,133981,2,0
"Q12012",372,3,118522,3,0
"Q22012",446,2,126515,2,0
"Q32012",486,6,173398,6,0
"Q42012",521,1,178238,1,0
"Q12013",469,3,170976,3,0
"Q22013",523,1,156911,1,0
"Q32013",384,5,88496,5,0
"Q42013",365,4,69220,4,0
"Q12014",256,3,48886,3,0
"Q22014",347,3,65886,3,0
"Q32014",359,3,71559,3,0
"Q42014",244,1,59576,1,0
"Q12015",191,0,66148,0,0
"Q22015",190,0,65828,0,0
"Q32015",148,0,49101,0,0
"Q42015",103,0,37341,0,0
"Q12016",70,0,26484,0,0
"Q22016",59,0,26891,0,0
